Date,Trial_Day,Plate,Condition,Count_Trial,Cell_Count
14-Mar,Day 4,B,Control,10,504
14-Mar,Day 4,B,Control,11,492
14-Mar,Day 4,B,Control,12,576
14-Mar,Day 4,C,B-Field,1,353
14-Mar,Day 4,C,B-Field,2,308
14-Mar,Day 4,C,B-Field,3,318
14-Mar,Day 4,C,B-Field,4,469
14-Mar,Day 4,C,B-Field,5,456
14-Mar,Day 4,C,B-Field,6,434
14-Mar,Day 4,C,B-Field,7,517
14-Mar,Day 4,C,B-Field,8,671
14-Mar,Day 4,C,B-Field,9,886
14-Mar,Day 4,C,B-Field,10,794
14-Mar,Day 4,C,B-Field,11,687
14-Mar,Day 4,C,B-Field,12,523
14-Mar,Day 4,D,B-Field,1,301
14-Mar,Day 4,D,B-Field,2,323
14-Mar,Day 4,D,B-Field,3,315
14-Mar,Day 4,D,B-Field,4,257
14-Mar,Day 4,D,B-Field,5,378
14-Mar,Day 4,D,B-Field,6,526
14-Mar,Day 4,D,B-Field,7,844
14-Mar,Day 4,D,B-Field,8,769
14-Mar,Day 4,D,B-Field,9,635
14-Mar,Day 4,D,B-Field,10,408
14-Mar,Day 4,D,B-Field,11,836
14-Mar,Day 4,D,B-Field,12,286
15-Mar,Day 5,A,Control,1,603
15-Mar,Day 5,A,Control,2,734
15-Mar,Day 5,A,Control,3,826
15-Mar,Day 5,A,Control,4,484
15-Mar,Day 5,A,Control,5,517
15-Mar,Day 5,A,Control,6,915
15-Mar,Day 5,A,Control,7,532
15-Mar,Day 5,A,Control,8,984
15-Mar,Day 5,A,Control,9,0
15-Mar,Day 5,A,Control,10,31
15-Mar,Day 5,A,Control,11,463
15-Mar,Day 5,A,Control,12,589
15-Mar,Day 5,B,Control,1,951
15-Mar,Day 5,B,Control,2,813
15-Mar,Day 5,B,Control,3,886
15-Mar,Day 5,B,Control,4,742
15-Mar,Day 5,B,Control,5,768
15-Mar,Day 5,B,Control,6,453
15-Mar,Day 5,B,Control,7,604
15-Mar,Day 5,B,Control,8,723
15-Mar,Day 5,B,Control,9,311
15-Mar,Day 5,B,Control,10,20
15-Mar,Day 5,B,Control,11,182
15-Mar,Day 5,B,Control,12,406
15-Mar,Day 5,C,B-Field,1,612
15-Mar,Day 5,C,B-Field,2,587
15-Mar,Day 5,C,B-Field,3,984
15-Mar,Day 5,C,B-Field,4,732
15-Mar,Day 5,C,B-Field,5,681
15-Mar,Day 5,C,B-Field,6,997
15-Mar,Day 5,C,B-Field,7,546
15-Mar,Day 5,C,B-Field,8,146
15-Mar,Day 5,C,B-Field,9,322
15-Mar,Day 5,C,B-Field,10,973
15-Mar,Day 5,C,B-Field,11,452
15-Mar,Day 5,C,B-Field,12,63
15-Mar,Day 5,D,B-Field,1,546
15-Mar,Day 5,D,B-Field,2,827
15-Mar,Day 5,D,B-Field,3,792
15-Mar,Day 5,D,B-Field,4,618
15-Mar,Day 5,D,B-Field,5,678
15-Mar,Day 5,D,B-Field,6,779
15-Mar,Day 5,D,B-Field,7,953
15-Mar,Day 5,D,B-Field,8,122
15-Mar,Day 5,D,B-Field,9,212
15-Mar,Day 5,D,B-Field,10,414
15-Mar,Day 5,D,B-Field,11,506
15-Mar,Day 5,D,B-Field,12,674
16-Mar,Day 6,A,Control,1,185
16-Mar,Day 6,A,Control,2,113
16-Mar,Day 6,A,Control,3,0
16-Mar,Day 6,A,Control,4,0
16-Mar,Day 6,A,Control,5,0
16-Mar,Day 6,A,Control,6,3
16-Mar,Day 6,A,Control,7,21
16-Mar,Day 6,A,Control,8,10
16-Mar,Day 6,A,Control,9,69
16-Mar,Day 6,A,Control,10,16
16-Mar,Day 6,A,Control,11,0
16-Mar,Day 6,A,Control,12,8
16-Mar,Day 6,B,Control,1,58
16-Mar,Day 6,B,Control,2,0
16-Mar,Day 6,B,Control,3,0
16-Mar,Day 6,B,Control,4,102
16-Mar,Day 6,B,Control,5,37
16-Mar,Day 6,B,Control,6,87
16-Mar,Day 6,B,Control,7,0
16-Mar,Day 6,B,Control,8,0
16-Mar,Day 6,B,Control,9,186
16-Mar,Day 6,B,Control,10,0
16-Mar,Day 6,B,Control,11,4
16-Mar,Day 6,B,Control,12,0
16-Mar,Day 6,C,B-Field,1,208
16-Mar,Day 6,C,B-Field,2,9
16-Mar,Day 6,C,B-Field,3,0
16-Mar,Day 6,C,B-Field,4,184
16-Mar,Day 6,C,B-Field,5,411
16-Mar,Day 6,C,B-Field,6,348
16-Mar,Day 6,C,B-Field,7,0
16-Mar,Day 6,C,B-Field,8,17
16-Mar,Day 6,C,B-Field,9,14
16-Mar,Day 6,C,B-Field,10,0
16-Mar,Day 6,C,B-Field,11,40
16-Mar,Day 6,C,B-Field,12,2
16-Mar,Day 6,D,B-Field,1,141
16-Mar,Day 6,D,B-Field,2,4
16-Mar,Day 6,D,B-Field,3,110
16-Mar,Day 6,D,B-Field,4,487
16-Mar,Day 6,D,B-Field,5,0
16-Mar,Day 6,D,B-Field,6,112
16-Mar,Day 6,D,B-Field,7,0
16-Mar,Day 6,D,B-Field,8,16
16-Mar,Day 6,D,B-Field,9,0
16-Mar,Day 6,D,B-Field,10,10
16-Mar,Day 6,D,B-Field,11,52
16-Mar,Day 6,D,B-Field,12,8
17-Mar,Day 7,A,Control,1,
17-Mar,Day 7,A,Control,2,
17-Mar,Day 7,A,Control,3,
17-Mar,Day 7,A,Control,4,
17-Mar,Day 7,A,Control,5,
17-Mar,Day 7,A,Control,6,
17-Mar,Day 7,A,Control,7,
17-Mar,Day 7,A,Control,8,
17-Mar,Day 7,A,Control,9,
17-Mar,Day 7,A,Control,10,
17-Mar,Day 7,A,Control,11,
17-Mar,Day 7,A,Control,12,
17-Mar,Day 7,B,Control,1,
17-Mar,Day 7,B,Control,2,
17-Mar,Day 7,B,Control,3,
17-Mar,Day 7,B,Control,4,
17-Mar,Day 7,B,Control,5,
17-Mar,Day 7,B,Control,6,
17-Mar,Day 7,B,Control,7,
17-Mar,Day 7,B,Control,8,
17-Mar,Day 7,B,Control,9,
17-Mar,Day 7,B,Control,10,
17-Mar,Day 7,B,Control,11,
17-Mar,Day 7,B,Control,12,
17-Mar,Day 7,C,B-Field,1,
17-Mar,Day 7,C,B-Field,2,
17-Mar,Day 7,C,B-Field,3,
17-Mar,Day 7,C,B-Field,4,
17-Mar,Day 7,C,B-Field,5,
17-Mar,Day 7,C,B-Field,6,
17-Mar,Day 7,C,B-Field,7,
17-Mar,Day 7,C,B-Field,8,
17-Mar,Day 7,C,B-Field,9,
17-Mar,Day 7,C,B-Field,10,
17-Mar,Day 7,C,B-Field,11,
17-Mar,Day 7,C,B-Field,12,
17-Mar,Day 7,D,B-Field,1,
17-Mar,Day 7,D,B-Field,2,
17-Mar,Day 7,D,B-Field,3,
17-Mar,Day 7,D,B-Field,4,
17-Mar,Day 7,D,B-Field,5,
17-Mar,Day 7,D,B-Field,6,
17-Mar,Day 7,D,B-Field,7,
17-Mar,Day 7,D,B-Field,8,
17-Mar,Day 7,D,B-Field,9,
17-Mar,Day 7,D,B-Field,10,
17-Mar,Day 7,D,B-Field,11,
17-Mar,Day 7,D,B-Field,12,
