Date,Plate,Condition,Count_Trial,Cell_Count,Trial_Day
13-Feb,A,B-Field,6,536,Day 3
13-Feb,A,B-Field,7,284,Day 3
13-Feb,A,B-Field,8,452,Day 3
13-Feb,A,B-Field,9,692,Day 3
13-Feb,A,B-Field,10,307,Day 3
13-Feb,A,B-Field,11,272,Day 3
13-Feb,A,B-Field,12,483,Day 3
13-Feb,B,B-Field,1,370,Day 3
13-Feb,B,B-Field,2,724,Day 3
13-Feb,B,B-Field,3,264,Day 3
13-Feb,B,B-Field,4,340,Day 3
13-Feb,B,B-Field,5,425,Day 3
13-Feb,B,B-Field,6,284,Day 3
13-Feb,B,B-Field,7,164,Day 3
13-Feb,B,B-Field,8,302,Day 3
13-Feb,B,B-Field,9,529,Day 3
13-Feb,B,B-Field,10,223,Day 3
13-Feb,B,B-Field,11,434,Day 3
13-Feb,B,B-Field,12,492,Day 3
14-Feb,C,Control,1,316,Day 4
14-Feb,C,Control,2,474,Day 4
14-Feb,C,Control,3,131,Day 4
14-Feb,C,Control,4,163,Day 4
14-Feb,C,Control,5,105,Day 4
14-Feb,C,Control,6,364,Day 4
14-Feb,C,Control,7,436,Day 4
14-Feb,C,Control,8,74,Day 4
14-Feb,C,Control,9,85,Day 4
14-Feb,C,Control,10,124,Day 4
14-Feb,C,Control,11,272,Day 4
14-Feb,C,Control,12,310,Day 4
14-Feb,A,B-Field,1,808,Day 4
14-Feb,A,B-Field,2,258,Day 4
14-Feb,A,B-Field,3,369,Day 4
14-Feb,A,B-Field,4,169,Day 4
14-Feb,A,B-Field,5,148,Day 4
14-Feb,A,B-Field,6,379,Day 4
14-Feb,A,B-Field,7,440,Day 4
14-Feb,A,B-Field,8,428,Day 4
14-Feb,A,B-Field,9,328,Day 4
14-Feb,A,B-Field,10,280,Day 4
14-Feb,A,B-Field,11,317,Day 4
14-Feb,A,B-Field,12,145,Day 4
14-Feb,B,B-Field,1,736,Day 4
14-Feb,B,B-Field,2,424,Day 4
14-Feb,B,B-Field,3,343,Day 4
14-Feb,B,B-Field,4,297,Day 4
14-Feb,B,B-Field,5,311,Day 4
14-Feb,B,B-Field,6,602,Day 4
14-Feb,B,B-Field,7,372,Day 4
14-Feb,B,B-Field,8,197,Day 4
14-Feb,B,B-Field,9,304,Day 4
14-Feb,B,B-Field,10,460,Day 4
14-Feb,B,B-Field,11,398,Day 4
14-Feb,B,B-Field,12,412,Day 4
15-Feb,C,Control,1,65,Day 5
15-Feb,C,Control,2,17,Day 5
15-Feb,C,Control,3,667,Day 5
15-Feb,C,Control,4,75,Day 5
15-Feb,C,Control,5,212,Day 5
15-Feb,C,Control,6,182,Day 5
15-Feb,C,Control,7,180,Day 5
15-Feb,C,Control,8,24,Day 5
15-Feb,C,Control,9,316,Day 5
15-Feb,C,Control,10,238,Day 5
15-Feb,C,Control,11,323,Day 5
15-Feb,C,Control,12,118,Day 5
15-Feb,A,B-Field,1,522,Day 5
15-Feb,A,B-Field,2,413,Day 5
15-Feb,A,B-Field,3,602,Day 5
15-Feb,A,B-Field,4,329,Day 5
15-Feb,A,B-Field,5,334,Day 5
15-Feb,A,B-Field,6,147,Day 5
15-Feb,A,B-Field,7,724,Day 5
15-Feb,A,B-Field,8,384,Day 5
15-Feb,A,B-Field,9,403,Day 5
15-Feb,A,B-Field,10,609,Day 5
15-Feb,A,B-Field,11,298,Day 5
15-Feb,A,B-Field,12,562,Day 5
15-Feb,B,B-Field,1,924,Day 5
15-Feb,B,B-Field,2,532,Day 5
15-Feb,B,B-Field,3,639,Day 5
15-Feb,B,B-Field,4,782,Day 5
15-Feb,B,B-Field,5,273,Day 5
15-Feb,B,B-Field,6,433,Day 5
15-Feb,B,B-Field,7,678,Day 5
15-Feb,B,B-Field,8,736,Day 5
15-Feb,B,B-Field,9,355,Day 5
15-Feb,B,B-Field,10,241,Day 5
15-Feb,B,B-Field,11,331,Day 5
15-Feb,B,B-Field,12,892,Day 5
16-Feb,C,Control,1,139,Day 6
16-Feb,C,Control,2,202,Day 6
16-Feb,C,Control,3,318,Day 6
16-Feb,C,Control,4,290,Day 6
16-Feb,C,Control,5,16,Day 6
16-Feb,C,Control,6,437,Day 6
16-Feb,C,Control,7,146,Day 6
16-Feb,C,Control,8,297,Day 6
16-Feb,C,Control,9,134,Day 6
16-Feb,C,Control,10,502,Day 6
16-Feb,C,Control,11,373,Day 6
16-Feb,C,Control,12,72,Day 6
16-Feb,A,B-Field,1,546,Day 6
16-Feb,A,B-Field,2,624,Day 6
16-Feb,A,B-Field,3,508,Day 6
16-Feb,A,B-Field,4,482,Day 6
16-Feb,A,B-Field,5,397,Day 6
16-Feb,A,B-Field,6,204,Day 6
16-Feb,A,B-Field,7,426,Day 6
16-Feb,A,B-Field,8,514,Day 6
16-Feb,A,B-Field,9,372,Day 6
16-Feb,A,B-Field,10,528,Day 6
16-Feb,A,B-Field,11,463,Day 6
16-Feb,A,B-Field,12,614,Day 6
16-Feb,B,B-Field,1,398,Day 6
16-Feb,B,B-Field,2,453,Day 6
16-Feb,B,B-Field,3,624,Day 6
16-Feb,B,B-Field,4,717,Day 6
16-Feb,B,B-Field,5,462,Day 6
16-Feb,B,B-Field,6,689,Day 6
16-Feb,B,B-Field,7,594,Day 6
16-Feb,B,B-Field,8,732,Day 6
16-Feb,B,B-Field,9,645,Day 6
16-Feb,B,B-Field,10,271,Day 6
16-Feb,B,B-Field,11,323,Day 6
16-Feb,B,B-Field,12,862,Day 6
